Date,close,high,low,open,volume,SMA_20,EMA_20,EMA_50,RSI_14,ROC_10,MACD,MACD_SIG,ATR_14,OBV,ADX_14,CCI_20
2024-11-04,561.30712890625,563.9569903576214,559.4157965332372,562.6566805623088,38217000,570.0979766845704,567.222452112572,560.2445286277022,43.65937478485247,-2.3679482095927544,1.2386956208730453,3.3590675708558346,5.50554227286022,-457229700.0,24.7573009311467,-10023.857288960797
2024-11-05,568.0942993164062,568.1336807780868,562.0065265842841,562.2232148100805,39478300,570.2718444824219,567.3054851796039,560.5523627723572,52.47691151549559,-1.1348875527231874,1.2024559667778476,2.9277452500402372,5.59990010135855,-417751400.0,23.813829123017438,-10435.499217640823
2024-11-06,582.2203369140625,583.0970705492409,576.6546836514896,580.4078275075276,68182000,570.9564727783204,568.7259472495524,561.4020872485025,64.81818851871381,2.257817406011999,2.2872232715957352,2.799640854351337,6.271533753606845,-349569400.0,23.788514858030037,-9743.657429401395
2024-11-07,586.7221069335938,587.7466262080364,584.1510685994552,584.2298916492671,47233200,571.915936279297,570.4398672194611,562.3950291969376,67.69719905521174,2.8261079779202394,3.4701625202720834,2.9337451875354863,6.21830200649021,-302336200.0,24.28460280071209,-8952.687766961773
2024-11-08,589.2636108398438,590.6919854789882,587.2737347167168,587.2737347167168,46444900,572.832553100586,572.2326047071166,563.4486990652869,69.22818206704083,3.3072128792043847,4.560161815656556,3.2590285131597003,6.057700330697653,-255891300.0,25.046503223431838,-7604.436268794193
2024-11-11,589.8250732421875,591.2140062031049,588.0913270467408,590.8593926970449,37586800,573.5437713623047,573.9080779009329,564.4830666800674,69.57128808881552,3.0869458821200144,5.406971235125752,3.688617057552911,5.848055961102395,-218304500.0,25.807359514678314,-6288.473978664425
2024-11-12,587.9928588867188,590.3471487178498,585.5005836337616,589.7462657959629,43006100,574.3869964599609,575.2494856138649,565.4050193156224,66.94795877906779,2.600664189711769,5.862648452961707,4.123423336634671,5.776520898458522,-261310600.0,25.95316325362451,-5458.560476063383
2024-11-13,588.2785034179688,590.2880401081766,586.0817995759008,588.4558101737783,47388600,575.1203857421875,576.4903444523509,566.3020186921851,67.15588756275977,2.961997974592675,6.1756361679703105,4.533865902901799,5.664358015159752,-213922000.0,26.088552439788835,-4791.47095825207
2024-11-14,584.4957885742188,588.8892564552813,583.8062823316938,588.406578035767,38904100,575.662176513672,577.2527677020526,567.0154998640296,61.626860164639204,4.345452152268596,6.048721812786653,4.83683708487877,5.622830594333164,-252826100.0,25.70609386713636,-4352.325609085314
2024-11-15,577.00927734375,581.3928852443048,575.1474660138925,580.9200070517927,75988800,575.7193054199219,577.2295781441189,567.4074127063716,52.42701820816518,2.575998979200782,5.283141615123327,4.926097990927682,5.888937163332667,-328814900.0,23.990334993699268,-4285.589938218532
2024-11-18,579.3734741210938,580.6934445713057,576.6054081851684,577.4722212479682,37001700,575.9419311523437,577.4337587133547,567.8766700167528,54.72555915417574,3.2186203032994447,4.81171822181193,4.903222037104531,5.760301393533001,-291813200.0,22.397130325507682,-4223.867490183785
2024-11-19,581.4913330078125,582.2202808592402,575.3149369393851,575.9847825359503,49412000,576.2857208251953,577.820194360446,568.4105783693433,56.7418709260761,2.3582411771297545,4.556481021755644,4.833873834034754,5.8420901454131515,-242401200.0,20.942677309697775,-4176.632207089505
2024-11-20,581.6883544921875,581.9740053669792,575.9059534750936,581.5701499836966,50032600,576.9018829345703,578.188590563469,568.9312754721999,56.93402082788561,-0.09137132252965637,4.3202999603881835,4.7311590593054405,5.858230270161184,-192368600.0,19.592113795017145,-4314.349961763515
2024-11-21,584.8110961914062,586.2394709664421,578.6839413917952,584.5451660811236,46750300,577.6126159667969,578.8193053851774,569.5540135396199,59.96913198527463,-0.3257096877046413,4.33513123064597,4.651953493573547,5.979465934767308,-145618300.0,19.079586426617045,-4415.110282066724
2024-11-22,586.6236572265625,587.2541214128702,584.2988881794737,584.8012273246769,38226400,578.4238342285156,579.5625769891188,570.2234113312646,61.65822568564346,-0.4480089326267195,4.441939730311788,4.609950740921196,5.763449313240821,-107391900.0,18.769017100181802,-4438.533493134778
2024-11-25,588.613525390625,591.8937909448966,586.3182774428572,590.5738204551704,42441400,579.2463745117186,580.4245720749766,570.944592274769,63.480045056274015,-0.20540799408590546,4.633737129401879,4.614708018617333,5.7500253267264405,-64950500.0,19.182062791431907,-4423.578512981185
2024-11-26,591.6869506835938,592.3567963116076,589.1454333564441,589.8645208450938,45621300,580.176284790039,581.4971795615115,571.7580180947228,66.15496687371106,0.6282545342249972,4.976373153433997,4.687041045580665,5.606685726316165,-19329200.0,19.63149050045725,-4411.742624239952
2024-11-27,589.89404296875,591.883858859544,588.3671846956962,591.4997242855515,34000200,581.1032379150389,582.2968808383914,572.4692347564495,63.244750358669116,0.27462155108418396,5.045085398389801,4.758649916142493,5.457399186139855,-53329400.0,19.854770777199167,-4448.00290531502
2024-11-29,593.55859375,594.3466439350991,590.4359140778026,590.7117045866185,30177400,582.7734405517577,583.3694249252113,573.2962684424712,66.48956846590504,1.550533870892119,5.333754764897776,4.873670885893549,5.38562788472623,-23152000.0,20.441226811312237,-4910.24231978739
2024-12-02,594.6224365234375,595.3021425181648,593.4797127608734,593.9722515940274,31746000,584.3786224365234,584.4411403155186,574.1325887593719,67.38962171428348,3.0524915059891766,5.5840016434913196,5.015737037413103,5.131113732766599,8594000.0,21.129196453098253,-5544.31868176796
2024-12-03,594.8983154296875,595.1445848828695,593.3517961731578,594.3861158516463,26906600,586.0581817626952,585.4370617549633,574.9469309817372,67.63240808555982,2.67959131752534,5.73843610051199,5.160276850032881,4.892661945405532,35500600.0,21.730791043419217,-6829.044008426068
2024-12-04,598.59228515625,598.8385545797807,595.9227630847732,596.5926087018526,42787600,587.5830810546875,586.6899401741335,575.8741997728946,70.77039373039709,2.940878251784321,6.08871212222823,5.345963904471951,4.824631745740369,78288200.0,22.84707393316789,-7905.552621605062
2024-12-05,597.607177734375,599.4000262634194,597.2525642119798,598.592255379496,28762200,588.3524230957032,587.7296770846327,576.7264734184429,68.85331323543886,2.736658404668354,6.2151738022013205,5.519805884017825,4.6334053390045975,49526000.0,23.963342708364255,-7816.662234291511
2024-12-06,598.7401123046875,599.9813199050982,597.9619225172376,598.3756383425828,31241500,588.9533233642579,588.7782899627332,577.5897533747662,69.86436863474775,2.3817975076044626,6.333801821439238,5.682605071502108,4.472029398413069,80767500.0,25.08547753554578,-7205.1031166185785
2024-12-09,595.6567993164062,598.7893393078875,595.0657767234376,598.6218929272753,34742700,589.272982788086,589.4333860916545,578.2982649803208,63.7949529117089,1.5398530179554317,6.108601634353249,5.7678043840723365,4.418567483129989,46024800.0,25.183460192986193,-6716.321309550853
2024-12-10,593.8048706054688,596.7601039297737,593.1448853311992,596.3365277015484,37234500,589.4719726562499,589.849717950113,578.9063671616991,60.400846104434585,0.8819615912492985,5.714816842637333,5.757206875785336,4.361185419947448,8790300.0,24.702614344413657,-6404.5442953781
2024-12-11,598.3953857421875,599.3508823544095,596.464611597443,596.740462242854,28677700,589.9920989990234,590.6635910731677,579.6706424001496,65.32545551336067,1.133781140659481,5.707364816243171,5.7472384638769025,4.445815872018396,37468000.0,24.746623459578213,-6023.780510519769
2024-12-12,595.3121337890625,598.0998609080264,595.3121337890625,597.5285590255178,31543800,590.343780517578,591.1063094270625,580.2840342193226,59.93416632971752,0.9184854271531484,5.390527718776411,5.6758963148568045,4.3484898778117245,5924200.0,24.440385732121253,-5837.3386678821125
2024-12-13,595.1937255859375,598.07013518482,593.8145929720881,597.3510478161899,35904700,590.8786773681641,591.4955871564791,580.8687279984056,59.73029212573887,0.27547943086916177,5.071417341665438,5.555000520218531,4.341850758877445,-29980500.0,23.71316360527092,-5890.603223655401
2024-12-16,597.7352905273438,598.7105679786196,596.1789110129041,596.9571007701239,43695200,591.9149780273438,592.089844620371,581.5301618230699,62.665897217219396,0.5235009331477781,4.966354080375368,5.437271232249898,4.28292158986349,13714700.0,23.179699151541435,-6525.7287176640175
2024-12-17,595.2725219726562,596.1393950716445,593.8934494056226,595.1740382622843,55773500,592.7099304199219,592.39295674916,582.0690779073674,58.235771427066034,0.06290260591820056,4.630982762120425,5.276013538224004,4.251415842139036,-42058800.0,22.005817709718336,-7583.568258092377
2024-12-18,577.5313720703125,597.3609304879477,577.1471773446116,594.9671989364094,108248700,592.5119323730469,590.9775677321269,581.8911286588555,37.609362706932785,-3.51840703734429,2.900204298205267,4.800851690220257,5.3915827922245425,-150307500.0,22.941304687529723,-8104.93757459472
2024-12-19,577.3540649414062,584.15112569827,577.1077954954964,582.5355837032507,85919500,592.2952178955077,589.6800912758678,581.7132045915046,37.46653697610317,-3.3890343937553697,1.4969863655019253,4.14007862527659,5.509564750120907,-236227000.0,23.81456903320773,-8069.809027866379
2024-12-20,584.2886352539062,588.8352196171104,574.1674387147792,575.0175026728227,125716700,592.2690948486328,589.1666192737762,581.8142018723831,46.08959172415691,-2.4136477168957686,0.9337245187628014,3.498807803973833,6.1637230467073545,-110510300.0,23.537100497557855,-7967.244333757784
2024-12-23,587.7875366210938,588.3904419763173,580.8391036798633,584.0316546408188,57635800,592.3272888183594,589.0352780687588,582.0484502939012,49.84743481317237,-1.3211068360746496,0.7608964058081256,2.9512255243406917,6.262838421689258,-52874500.0,23.27945114302583,-7917.491494882864
2024-12-24,594.32080078125,594.3603751171399,588.5584517113257,589.1416302251183,33160100,592.6126525878907,589.5386611842341,582.5297189404639,56.01300837072451,0.08688547388558561,1.1379906502486392,2.5885785495222815,6.284981284143325,-19714400.0,21.816687756111453,-8347.404657760851
